recruit_no,title,company,company_desc,skills,career,location,badges,deadline_text,deadline_date,detail_url
49609654,[리빌더AI] AI 엔지니어,리빌더에이아이,브랜드 제품 디자인 및 생산을 지원하는 VRING-ON 서비스와 AI 기반 3D 홍보 콘텐츠 생성 솔루션 VRIN3D를 제공하는 AI·XR 테크 스타트업,Docker;Git;Python;Pytorch;Ubuntu,경력5년↑,경기 성남시,합격축하금,~08/19(수),2026-08-19 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49609654?sc=322
49609301,[AI CX사업부문] 데이터 분석가,㈜플래티어,고객 행동 데이터를 분석하여 AI 추천 시스템과 고객 세그멘테이션 솔루션을 제공하는 B2B MarTech 플랫폼 전문 기업,Groovy,경력3년↑,서울 송파구,합격축하금,~08/19(수),2026-08-19 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49609301?sc=322
49607998,기업부설연구소 연구원,화인케미칼㈜,고무플라스틱 제조 및 수출업체로 신발산업 소재의 최고의 기술력 보유,컴퓨터활용능력,경력무관,경남 김해시,합격축하금,~08/19(수),2026-08-19 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49607998?sc=322
49596400,영상AI 연구/개발(전문연구요원가능),베스텔라랩,"독보적인 정밀 실내 내비게이션 기술로 자율주행차 시대를 준비하며, AI, IoT, 빅데이터 융복합 솔루션을 제공하는 기업",Python;Pytorch;Tensorflow,경력1년↑,경기 안양시,합격축하금,~08/13(목),2026-08-13 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49596400?sc=322
49596027,[경력] AI 기획자(컨설턴트) 영입,티유컨설팅,"데이터 기반의 IT 전략과 컨설팅 서비스를 제공하는 AI 전문기업, 빅데이터 거버넌스 및 품질 관리 솔루션 역량 보유",RAG,경력2년↑,"서울 강서구;2,590~4,000만원",합격축하금,~08/15(토),2026-08-15 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49596027?sc=322
49594306,비전 센싱 & AI 알고리즘 엔지니어,㈜모빌리티랩,자율비행기술을 기반으로 안전하고 효율적인 드론 솔루션을 개발하는 강소특구 연구소 기업,Python;ROS,경력3년↑,경기 안산시,합격축하금,~08/15(토),2026-08-15 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49594306?sc=322
49594176,AX Engineer,㈜어댑트,"고객의 문제 해결을 중심으로 D2C 브랜드를 구축하며, 최신 미디어와 콘텐츠를 통해 고객과의 소통에 집중하는 종합기업",API;AWS;GCP;Python;Excel,경력4년↑,서울 강남구,합격축하금,~08/15(토),2026-08-15 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49594176?sc=322
49594057,AX Specialist,㈜어댑트,"고객의 문제 해결을 중심으로 D2C 브랜드를 구축하며, 최신 미디어와 콘텐츠를 통해 고객과의 소통에 집중하는 종합기업",,경력3년↑,서울 강남구,합격축하금,~08/15(토),2026-08-15 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49594057?sc=322
49593467,Data Scientist,㈜앰버로드,도메인 전문가 단독으로 스마트 제조 프로젝트를 성공적으로 수행할 수 있는 인공지능 기반 솔루션을 제공하는 기업,,경력3년↑,서울 강남구 외 1,합격축하금,~08/15(토),2026-08-15 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49593467?sc=322
49593455,Data Engineer,㈜앰버로드,도메인 전문가 단독으로 스마트 제조 프로젝트를 성공적으로 수행할 수 있는 인공지능 기반 솔루션을 제공하는 기업,AWS;Kafka;Redis;Airflow;Grafana,경력5년↑,서울 강남구 외 1,합격축하금,~08/15(토),2026-08-15 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49593455?sc=322
49590994,시스템 개발 엔지니어,㈜에이스웍스코리아,"연구개발 중심의 미래모빌리티 전문 솔루션 기업으로, EV 및 자율주행 분야에 맞춤형 솔루션을 제공하는 혁신 기업",,경력1년↑,서울 강남구 외 5,합격축하금,~08/14(금),2026-08-14 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49590994?sc=322
49590960,시스템 전장설계 엔지니어,㈜에이스웍스코리아,"연구개발 중심의 미래모빌리티 전문 솔루션 기업으로, EV 및 자율주행 분야에 맞춤형 솔루션을 제공하는 혁신 기업",EPLAN,경력1년↑,서울 강남구 외 5,합격축하금,~08/14(금),2026-08-14 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49590960?sc=322
